,Q1,Q2,Q3,Q4,Q5,Q6,Q27,Q28,Q29,Q30,Q31,Q32,Q46,Q51,Q52,Q53,Q54,Q55,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q113,Q114,Q115,Q116,Q117,Q118,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q142,Q143,Q146,Q147,Q148,Q169,Q170,Q196,Q197,Q198,Q199,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q253,Q254,Q255,Q256,Q257,Q258,Q259
pid_1223,1,1,1,1,2,4,1,4,4,4,4,3,3,4,4,4,4,4,1,2,2,2,1,2,4,3,2,3,1,3,3,2,3,2,2,1,2,3,2,1,1,1,3,3,2,3,2,1,1,1,4,4,4,3,4,4,3,2,2,1,2,1,4,4,4,4,4,1,2,3,2,4,2,2,1,2,4,3,1,4,2,4,1,4,3,2,2,2,2,2,2
pid_2055,1,1,1,1,2,4,2,4,4,4,4,1,2,4,4,4,4,4,1,2,1,2,1,1,4,2,2,4,1,3,3,2,4,3,2,1,1,4,4,1,1,1,2,3,2,2,2,1,1,1,4,4,4,2,4,4,3,2,1,1,3,2,4,4,4,4,4,1,1,4,1,4,3,2,1,2,4,4,1,4,1,4,1,4,3,3,2,2,2,2,1
pid_1744,1,2,1,1,1,4,2,4,4,4,4,1,2,4,4,2,2,4,1,1,1,1,2,1,4,2,2,3,1,4,4,2,4,4,2,1,1,4,4,4,1,1,3,4,3,3,2,2,1,1,4,3,4,2,3,4,4,2,1,1,4,2,4,4,4,4,4,1,2,4,1,3,2,2,1,2,4,4,1,4,1,4,1,4,3,2,1,2,3,3,1
pid_520,1,1,1,1,1,1,1,2,2,4,1,1,1,4,4,4,4,4,1,2,1,2,3,3,1,1,4,4,4,1,2,3,2,3,3,4,3,2,1,3,3,1,3,2,2,3,3,2,3,1,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,2,1,2,4,4,3,4,3,3,4,3,2,1,4,4,4,1,4,1,1,1,1,1,2,2
pid_874,1,1,1,2,2,2,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,4,1,2,2,2,2,3,1,2,2,3,2,4,2,2,1,4,3,1,1,1,3,3,3,2,2,1,1,1,4,4,4,3,4,4,4,4,2,2,3,2,4,4,2,4,4,2,2,4,2,4,2,2,1,3,3,1,1,4,1,4,1,4,2,2,1,1,1,1,1
pid_793,1,1,1,1,2,4,1,4,4,4,4,3,3,3,2,2,4,4,2,2,2,3,2,2,4,2,2,3,1,3,3,2,2,3,2,1,2,4,3,3,1,1,3,3,3,2,2,1,1,3,2,2,3,2,2,3,3,3,4,1,1,1,4,4,4,4,4,1,3,4,1,3,2,2,1,2,4,4,1,4,1,4,1,4,3,2,1,1,2,2,1
pid_1090,1,1,1,2,1,4,1,4,4,4,4,1,3,2,2,2,2,4,1,2,1,2,2,2,3,1,2,2,1,2,2,3,3,3,2,2,2,3,3,1,1,1,3,3,3,2,2,2,1,3,2,3,3,2,3,3,3,1,1,1,1,1,4,4,1,2,4,2,3,3,2,2,2,2,1,2,3,3,1,4,1,4,1,4,3,2,2,2,2,4,2
pid_940,1,4,3,2,1,4,3,4,4,4,4,4,4,1,1,1,1,4,2,2,2,4,2,2,4,2,2,4,1,3,3,3,4,4,3,1,2,4,4,2,1,1,3,3,3,4,2,2,1,4,2,2,2,1,1,2,3,1,1,1,1,1,4,4,4,4,4,3,2,4,1,4,2,2,1,2,4,4,1,4,1,4,1,4,4,3,4,4,4,4,4
pid_1359,1,2,1,1,1,4,2,2,1,2,1,1,2,4,4,4,4,4,1,4,2,4,4,4,4,1,4,4,4,1,2,4,3,4,4,4,3,2,2,4,3,3,3,3,3,3,4,2,4,3,4,4,4,4,4,4,4,1,1,1,2,2,4,4,1,1,1,1,4,4,4,3,4,4,3,4,3,3,1,1,4,4,1,4,3,1,3,4,1,3,4
pid_4,1,1,1,1,1,4,1,4,4,4,4,1,1,4,4,4,4,4,1,1,1,1,1,1,4,1,1,2,1,3,2,2,3,2,1,1,1,4,2,1,1,1,3,3,2,2,2,1,1,1,4,4,4,2,4,4,4,4,4,1,4,2,4,4,4,4,4,1,1,4,2,3,3,2,1,2,3,3,1,4,1,4,1,4,4,2,1,1,1,1,1
pid_173,1,1,1,1,2,2,2,4,4,4,4,3,4,4,2,2,4,4,1,2,2,2,2,2,3,2,2,3,1,3,3,2,3,4,2,1,2,3,3,1,1,1,3,3,3,3,2,2,1,3,2,3,3,2,3,3,2,1,1,1,1,1,4,4,4,4,4,1,3,3,2,3,3,2,1,1,4,3,1,4,2,4,1,4,3,3,4,3,2,2,2
pid_1317,1,1,1,2,1,1,1,4,4,4,4,4,1,4,4,4,4,4,1,2,1,3,2,3,1,2,2,3,1,4,3,3,3,4,2,1,2,3,3,2,1,1,3,3,3,3,2,2,2,1,3,4,3,2,3,4,3,3,1,3,4,1,3,4,3,4,4,1,2,4,3,4,2,3,1,2,3,4,1,4,1,4,1,4,3,2,1,2,2,4,3
pid_1670,1,1,1,2,1,4,1,4,4,4,4,4,3,4,2,2,4,4,1,3,2,4,2,2,4,2,2,4,1,3,3,2,3,4,3,1,3,3,3,4,1,1,3,3,3,3,2,1,1,3,2,4,3,3,3,3,2,1,1,1,1,1,4,4,2,4,4,2,2,4,1,2,3,2,1,2,3,3,1,4,2,4,1,4,3,2,1,2,1,1,1
pid_1997,1,1,1,1,2,4,2,4,4,4,4,2,4,4,4,4,4,4,1,2,1,1,1,1,4,2,2,4,1,3,3,2,3,3,2,1,2,4,2,2,1,1,3,3,3,2,2,1,1,3,4,4,4,3,4,4,3,1,1,1,2,1,4,4,4,4,4,1,3,3,1,3,2,1,1,2,4,4,1,4,2,4,1,4,3,2,1,1,2,2,1
pid_414,1,1,1,1,1,3,1,4,2,4,4,2,1,4,4,4,4,4,1,2,1,3,2,3,3,1,4,4,4,1,2,3,2,3,3,2,3,2,1,2,2,1,3,2,3,3,3,2,3,1,4,4,4,4,4,4,4,4,4,3,2,3,4,4,1,1,1,1,3,4,4,3,4,3,3,4,3,2,1,4,2,4,1,4,2,1,1,1,1,2,1
pid_1527,1,1,1,1,1,4,1,4,4,4,4,3,2,4,4,4,4,4,1,2,1,2,1,2,4,2,2,2,1,2,2,2,2,2,2,1,2,3,3,1,1,1,3,4,3,2,2,2,2,2,3,4,4,2,4,4,3,2,2,1,2,1,4,4,2,4,4,1,1,3,2,3,2,2,1,2,3,3,1,4,2,4,1,4,3,2,1,1,2,2,1
pid_743,1,1,2,1,1,4,1,4,4,4,4,4,1,4,4,4,4,4,1,1,1,3,2,2,4,1,4,4,4,1,1,4,2,4,3,2,3,2,2,1,1,1,3,2,2,2,3,1,4,1,4,4,4,4,4,4,4,4,2,2,2,2,4,4,1,1,1,1,3,4,4,3,4,3,3,4,3,1,1,4,3,4,1,4,1,1,1,1,1,1,1
pid_224,1,2,1,2,1,4,2,4,4,4,4,4,1,4,3,4,4,4,1,3,2,3,3,2,4,1,2,2,1,4,3,2,4,4,2,1,2,3,2,3,1,1,3,3,3,3,3,1,2,2,4,4,3,3,4,4,4,2,1,1,2,1,4,4,4,4,4,1,3,3,1,3,2,3,1,2,4,3,1,4,1,4,1,4,3,2,3,3,3,4,4
pid_1040,1,1,1,1,1,4,4,4,4,4,4,1,3,2,3,2,2,4,1,2,1,2,1,1,4,2,2,4,1,3,3,2,3,3,2,1,2,4,3,1,1,2,3,3,3,3,2,1,1,1,3,3,2,3,4,3,3,1,1,2,3,1,4,4,4,4,4,1,1,4,1,3,2,2,1,3,4,4,1,4,1,4,1,4,3,3,3,3,3,2,2
pid_1569,1,2,1,2,1,4,1,2,2,4,2,2,3,4,2,3,4,4,1,2,2,3,3,3,4,1,4,4,3,1,2,3,3,4,3,3,3,2,2,3,3,1,3,3,3,3,3,2,3,3,2,4,4,3,3,2,3,1,1,1,1,1,4,4,1,2,2,2,2,4,4,3,4,2,3,2,3,3,1,3,3,4,1,4,3,1,1,1,1,3,3
pid_1794,1,1,1,2,1,3,3,4,4,4,4,3,1,4,4,4,4,4,1,1,1,2,2,2,2,1,2,3,2,1,2,3,4,3,2,1,2,2,2,1,1,1,3,3,3,2,3,1,2,1,4,4,4,3,4,4,3,3,4,3,3,2,4,4,2,4,4,2,2,4,3,4,3,2,2,3,3,2,1,4,2,4,1,4,2,2,1,1,1,2,1
pid_1873,1,1,1,2,1,4,1,4,4,4,4,3,1,4,3,4,4,4,1,2,1,2,2,2,4,1,2,2,2,3,2,2,3,3,2,1,2,3,2,3,1,1,2,3,2,2,2,2,2,2,4,4,4,4,4,4,3,2,2,2,2,1,4,4,2,2,4,2,2,4,2,4,2,1,1,3,3,3,1,4,2,4,1,4,3,1,1,1,1,1,1
pid_1250,1,1,1,2,1,3,2,4,2,4,3,4,3,4,3,4,4,4,1,3,3,4,3,3,2,1,4,4,4,1,2,4,3,4,4,3,4,2,2,4,3,3,3,2,3,3,4,2,4,2,4,4,4,4,4,4,4,2,2,1,1,2,2,1,1,1,2,1,4,4,4,4,4,4,3,2,3,1,1,2,2,3,1,4,3,1,1,2,1,3,3
pid_849,1,1,1,1,3,4,1,4,4,4,4,1,1,4,4,3,4,4,1,1,1,2,2,2,4,2,2,2,1,2,1,2,3,2,1,1,1,3,2,1,1,1,2,3,2,2,2,2,2,1,4,4,2,2,4,4,4,4,4,1,4,1,4,4,3,4,4,1,2,4,2,3,2,1,1,2,3,3,1,4,1,4,1,4,3,2,1,1,1,1,1
pid_553,1,1,1,2,1,1,3,2,2,4,2,1,1,4,4,4,4,4,1,3,2,4,3,3,1,1,4,4,4,1,2,4,4,4,4,3,3,2,3,2,3,3,3,3,3,3,3,1,3,1,4,4,4,4,4,4,4,4,4,4,3,2,2,1,1,1,4,1,3,3,4,3,4,4,1,3,3,2,1,1,3,4,1,4,3,1,2,2,1,3,3
pid_2026,1,2,1,2,2,4,2,4,4,4,4,1,2,4,3,4,4,4,1,3,2,3,2,2,4,2,2,4,1,3,3,2,3,3,2,1,2,4,3,1,1,1,3,3,3,3,2,1,1,2,4,4,3,4,3,4,4,2,1,1,2,2,4,4,4,4,4,1,3,4,2,4,2,1,1,2,4,3,1,4,2,4,1,4,3,3,3,2,2,3,2
pid_1737,1,1,1,1,1,1,1,4,4,4,4,2,2,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,2,1,1,3,2,1,1,1,3,3,2,2,2,2,1,1,4,4,4,3,4,4,4,2,3,2,2,2,4,4,4,4,4,1,1,3,2,3,2,2,1,2,3,3,1,4,2,4,1,4,3,2,1,1,1,2,1
pid_807,1,1,1,2,1,1,1,3,2,4,4,4,4,4,2,4,4,4,1,3,2,3,3,3,1,1,4,4,4,1,3,3,2,4,4,2,3,2,2,4,3,2,3,3,3,3,3,2,3,3,3,4,4,4,4,3,2,1,1,1,1,1,3,2,1,1,1,2,3,4,1,2,4,3,3,3,3,2,1,2,4,4,1,4,2,1,2,2,1,4,2
pid_1584,1,1,1,1,1,4,1,4,4,4,4,4,3,4,3,4,4,4,2,2,2,4,2,2,4,3,2,3,1,3,4,2,3,3,2,1,2,3,3,1,1,2,3,3,3,3,3,2,1,3,4,3,4,2,4,4,3,2,1,1,2,1,4,4,4,4,4,1,2,4,1,3,2,1,1,2,4,4,1,4,1,4,1,4,3,2,2,2,2,2,1
pid_287,1,1,2,1,1,1,1,1,1,2,1,3,1,4,3,4,4,4,1,1,2,4,3,4,1,1,4,4,4,1,2,4,1,4,3,2,4,1,1,1,3,1,3,3,3,3,4,2,3,1,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,4,1,4,4,4,3,4,4,3,2,2,2,1,1,4,4,1,4,3,1,1,1,1,3,1
pid_1779,2,1,1,2,1,4,2,4,4,4,4,2,2,4,2,4,4,4,1,2,2,2,2,2,4,1,3,4,2,2,2,3,3,3,2,2,2,3,2,1,2,1,3,3,3,2,2,1,2,2,4,2,4,3,4,4,4,2,2,2,3,2,4,4,4,4,4,2,2,3,3,4,3,2,2,4,3,2,1,4,2,4,1,4,2,2,2,3,2,3,2
pid_1934,1,1,1,1,1,1,2,4,4,4,4,4,4,4,2,4,4,4,1,3,3,3,3,3,1,3,2,3,1,2,3,2,3,3,2,1,2,4,3,2,1,1,3,3,3,3,2,1,2,3,2,4,3,2,2,2,2,1,1,1,1,1,4,4,1,4,4,1,3,3,1,4,3,2,1,2,4,4,1,4,2,4,1,4,3,2,2,2,2,4,4
pid_1149,1,1,1,1,3,4,3,4,4,4,4,1,1,4,4,4,4,4,1,2,1,4,1,2,3,2,2,4,1,4,3,3,4,3,2,1,2,4,3,1,1,1,3,3,3,2,2,2,1,1,4,4,4,3,4,4,2,4,2,1,2,1,4,4,4,4,4,1,3,4,2,3,3,2,1,2,4,4,1,4,1,4,1,4,3,2,2,2,2,2,1
pid_604,1,2,1,2,1,4,1,4,1,4,2,2,1,4,4,4,4,4,1,2,1,4,3,4,4,1,4,4,4,1,2,3,2,4,3,2,2,2,3,3,3,2,3,2,3,3,3,1,3,1,4,4,4,3,4,4,4,4,4,2,3,3,4,4,1,1,1,1,4,4,4,3,4,3,2,3,3,2,1,4,2,4,1,4,3,1,1,2,1,2,3
pid_1460,1,1,3,1,1,2,1,4,4,4,2,3,4,4,2,2,4,4,1,2,2,2,2,2,2,1,4,4,4,1,2,4,2,3,3,2,3,2,2,4,2,1,3,2,3,3,3,2,3,3,2,3,4,2,4,2,3,1,1,1,1,1,4,3,1,2,2,1,4,4,4,3,4,4,2,2,3,2,1,3,2,4,1,4,2,1,1,1,1,3,2
pid_1107,2,3,1,2,1,4,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,1,2,4,2,4,3,4,4,4,4,1,3,4,3,2,3,4,3,3,3,4,3,3,1,1,3,4,4,2,4,4,4,4,4,4,4,2,4,4,1,4,4,1,3,4,1,2,4,4,1,2,4,4,1,4,1,4,1,4,4,3,4,4,3,3,4
pid_43,1,1,1,2,1,4,1,4,4,4,4,4,2,4,4,4,4,4,1,3,2,4,2,3,4,2,3,3,2,3,3,3,4,3,3,1,3,3,2,3,1,2,3,3,3,3,3,2,3,2,3,4,3,2,4,4,3,3,2,2,3,1,4,4,4,4,4,2,3,4,2,3,3,3,2,2,4,3,1,4,2,4,1,4,3,2,1,1,2,2,2
pid_363,1,1,1,1,3,4,2,4,4,4,4,1,4,4,2,2,4,4,1,2,1,2,1,2,4,2,2,4,1,4,3,3,4,3,2,1,1,4,3,2,1,1,3,3,3,3,2,2,1,3,3,3,4,2,3,3,3,1,1,1,2,1,4,4,4,4,4,1,2,3,2,4,2,2,1,3,4,4,1,4,1,4,1,4,3,3,3,3,3,3,3
pid_730,1,2,1,1,1,1,1,4,4,4,4,2,1,4,4,4,4,4,1,2,1,3,2,2,2,2,2,3,1,3,2,2,4,3,2,1,1,3,2,2,1,1,3,3,3,2,2,1,2,1,4,4,4,2,4,4,4,4,4,1,2,2,4,4,4,4,4,1,2,4,2,4,2,2,1,3,3,3,1,4,2,4,1,4,3,2,1,2,2,2,2
pid_1554,1,1,1,2,1,4,1,4,4,4,4,4,2,4,4,4,4,4,1,3,2,3,2,2,4,1,2,3,2,3,3,3,3,2,3,1,2,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,2,4,3,4,4,4,2,4,3,4,4,2,4,4,1,2,4,2,3,3,2,1,3,4,3,1,4,1,4,1,4,3,2,1,3,2,2,1
pid_1033,4,4,1,1,2,4,4,4,4,4,4,1,3,4,1,2,4,4,4,4,4,4,3,4,4,3,2,4,1,4,3,4,4,4,2,1,3,4,3,1,2,2,3,3,3,4,3,2,1,3,3,4,3,2,3,3,4,1,4,2,3,2,4,4,4,4,4,1,4,3,1,2,4,3,1,2,4,3,1,4,1,4,1,4,4,3,4,4,4,4,4
pid_257,1,3,1,1,1,1,2,2,1,4,2,2,3,4,2,4,4,4,1,1,1,2,3,3,1,1,4,3,4,1,1,3,3,3,3,3,3,2,1,4,3,2,3,2,3,2,3,2,3,2,4,4,4,3,4,4,4,1,1,1,1,1,3,2,1,1,1,1,3,4,4,4,4,3,2,3,3,3,1,4,3,4,1,4,2,1,1,1,1,4,3
pid_1280,1,1,1,1,1,3,1,4,1,4,2,1,3,4,2,4,4,4,1,2,2,3,3,3,3,1,4,4,4,1,2,4,2,4,3,3,4,2,2,4,2,2,3,2,3,2,4,2,4,3,3,4,4,3,3,4,4,1,4,1,1,1,1,4,1,1,1,1,4,4,4,2,4,4,2,2,2,1,1,2,4,4,1,4,3,1,3,3,1,3,3
pid_899,1,1,1,2,1,2,1,4,4,4,4,3,1,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,1,2,1,2,3,2,1,1,1,3,2,2,1,1,2,2,2,2,2,1,1,1,4,4,4,3,4,4,4,3,3,2,3,2,4,4,2,4,4,1,2,4,2,4,2,2,1,2,3,3,1,4,2,4,1,4,2,1,2,1,1,1,1
pid_583,1,1,1,2,3,4,1,4,3,4,4,1,3,3,4,2,4,4,1,1,1,1,2,2,2,1,3,3,2,1,2,2,4,4,2,2,2,3,2,3,1,1,3,2,2,2,2,2,2,1,4,4,4,3,4,4,4,4,1,2,3,2,4,4,2,2,4,2,2,4,2,4,3,2,2,4,3,3,1,4,2,4,1,4,2,1,1,1,1,1,1
pid_1800,1,1,1,1,1,4,3,4,4,4,4,2,3,2,3,2,4,4,1,2,1,2,1,2,4,3,2,3,1,3,3,2,4,3,2,1,2,4,3,1,1,1,3,3,3,2,3,2,1,2,4,4,4,3,3,4,3,1,1,1,2,1,4,4,4,4,4,1,2,2,2,4,3,2,1,2,3,4,1,4,1,4,1,4,3,2,2,2,2,2,1
pid_219,1,1,1,1,1,4,2,4,4,4,4,4,3,4,2,3,4,4,2,2,2,2,1,2,4,2,2,4,1,3,3,2,3,3,2,1,2,4,3,1,1,1,3,3,3,3,2,2,1,2,4,3,4,2,4,4,3,1,2,1,2,2,4,4,4,4,4,1,3,3,1,3,3,2,1,2,3,3,1,4,2,4,1,4,3,2,3,3,3,3,2
pid_933,1,1,1,2,4,4,1,3,4,4,4,1,1,4,4,3,4,4,1,2,1,2,2,2,3,1,4,4,3,1,1,3,2,4,2,2,2,2,2,1,1,1,3,2,2,2,3,1,3,1,4,4,4,4,4,4,4,4,3,2,4,3,4,4,1,1,3,1,2,3,4,2,4,3,3,3,3,2,1,4,4,4,1,4,2,1,1,1,1,2,2
pid_429,1,1,1,1,1,4,3,4,4,4,4,4,1,4,4,4,4,4,1,2,2,2,1,1,4,3,2,3,1,3,3,2,3,3,2,1,2,3,3,1,1,1,3,3,3,3,2,2,1,1,4,4,4,2,4,4,3,4,2,2,4,2,4,4,4,4,4,1,1,3,1,3,2,2,1,3,3,3,1,4,1,4,1,4,3,2,1,3,2,2,1
pid_93,1,2,2,1,1,4,1,4,4,4,4,1,2,4,3,4,4,4,1,2,2,2,2,1,4,1,2,3,1,2,2,2,3,3,2,1,2,3,2,1,1,1,3,3,3,3,2,2,1,1,4,4,4,3,4,4,4,2,1,1,2,2,4,4,4,4,4,1,2,4,2,3,3,1,1,3,3,3,1,4,1,4,1,4,2,2,1,3,2,2,1
pid_1364,1,1,1,1,1,1,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,1,1,2,2,2,1,1,3,3,2,2,1,1,2,1,1,1,1,2,3,2,2,2,1,3,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,4,4,1,1,4,3,4,3,1,2,3,3,3,1,4,1,4,1,4,2,1,1,1,1,1,1
pid_100,1,1,1,1,1,4,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,1,1,4,2,2,3,1,3,3,2,4,3,2,1,1,4,3,1,1,1,3,3,3,3,2,2,1,1,4,4,3,2,3,3,3,4,2,1,4,1,4,4,4,4,4,1,1,3,1,3,2,2,1,2,4,4,1,4,1,4,1,4,3,2,1,2,2,2,1
pid_467,1,1,1,2,1,4,1,4,4,4,4,1,4,4,2,2,4,4,1,2,1,2,1,2,4,2,2,3,1,3,3,2,3,4,2,1,2,4,3,2,1,1,3,3,3,2,2,1,1,3,2,3,3,2,3,3,2,1,1,1,1,1,4,4,4,4,4,2,2,3,3,3,2,1,1,2,4,4,1,4,2,4,1,4,4,2,2,2,3,2,2
pid_1199,1,1,2,1,1,4,2,4,4,4,4,3,1,4,4,4,4,4,1,2,2,2,2,2,4,1,2,4,1,4,3,2,4,4,2,1,2,3,3,1,1,2,3,3,3,3,3,2,1,1,4,4,3,2,4,4,4,4,4,1,4,1,4,4,4,4,4,1,3,3,1,3,3,3,1,2,4,4,1,4,1,4,1,4,3,3,2,3,3,2,1
pid_1603,1,1,1,2,4,1,1,4,4,4,4,1,1,4,4,4,4,4,1,1,1,2,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,4,4,4,3,4,4,4,4,3,2,3,2,3,4,2,2,4,1,1,4,3,4,2,2,2,3,2,3,1,4,2,4,1,4,2,1,1,1,1,1,1
pid_1055,1,2,1,1,1,4,2,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,4,2,2,4,2,2,2,2,3,3,2,1,2,3,2,1,1,1,3,3,3,2,2,1,1,1,4,4,4,3,4,4,4,2,2,1,2,1,4,4,3,4,4,1,2,3,2,4,2,2,1,2,4,3,1,4,1,4,1,4,3,3,2,2,2,2,1
pid_1828,1,1,1,2,3,4,1,4,4,4,4,1,2,4,3,4,4,4,1,2,1,2,2,2,4,2,2,3,2,2,2,2,3,3,3,1,2,3,2,2,1,1,3,2,2,2,2,2,1,3,4,4,4,3,4,4,3,2,1,1,2,1,4,4,2,2,4,2,2,4,3,3,3,2,2,3,3,3,1,4,2,4,1,4,2,2,1,1,2,2,1
pid_231,1,1,1,1,3,1,1,1,1,1,2,1,1,4,4,4,4,4,1,1,1,2,3,2,1,1,4,3,4,1,1,3,2,4,3,4,3,2,2,4,3,1,2,2,2,2,3,2,4,1,3,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,3,4,4,3,4,4,3,4,3,1,1,2,4,4,1,4,1,1,1,1,1,2,1
pid_756,1,1,1,2,1,4,1,4,2,4,4,1,1,3,4,2,2,4,1,1,1,2,2,1,4,1,4,3,1,1,2,3,3,3,1,3,2,2,2,4,1,1,2,2,2,2,3,1,3,1,3,4,4,4,4,4,4,1,1,2,4,3,4,4,1,1,4,2,3,4,4,4,4,2,1,4,2,1,1,2,3,4,1,4,2,1,1,1,1,1,1
pid_1532,1,1,2,3,1,4,1,4,4,4,4,4,4,4,2,2,4,4,1,2,2,2,2,3,4,1,3,3,2,2,2,3,4,4,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,2,4,3,2,2,2,2,1,1,1,1,1,4,4,1,2,4,3,3,4,2,2,3,3,1,2,3,3,1,2,2,4,1,4,3,2,4,4,2,4,4
pid_1866,1,2,1,2,1,2,1,2,2,4,2,2,2,4,3,3,4,4,1,3,1,4,3,4,2,1,4,4,4,1,3,4,4,4,4,3,3,4,3,4,2,2,3,3,3,3,4,2,4,2,3,4,4,3,4,3,4,1,2,2,2,2,2,1,1,2,2,3,3,3,1,2,4,3,1,3,3,2,1,2,3,4,1,4,3,1,2,2,1,4,3
pid_1781,1,1,1,1,1,3,2,4,4,4,4,2,3,4,2,2,4,4,1,2,2,3,2,2,3,2,2,2,1,3,3,4,4,4,3,2,2,4,3,2,1,1,3,3,3,3,2,2,1,3,2,3,2,2,2,3,2,1,1,1,1,1,4,4,4,4,4,1,3,2,1,3,2,2,1,2,4,3,1,4,1,4,1,4,4,2,1,2,2,4,2
pid_718,1,1,1,2,2,4,1,4,4,4,4,4,4,4,2,3,4,4,1,3,2,4,2,4,3,1,2,3,1,3,3,3,3,4,2,2,2,4,3,1,1,1,3,3,3,3,2,1,2,3,2,4,4,3,3,4,2,1,1,1,1,1,3,4,1,1,4,2,2,4,2,3,3,2,1,2,3,3,1,4,2,4,1,4,3,2,2,2,2,2,4
pid_955,1,1,1,1,3,2,1,2,4,4,4,1,1,4,4,4,4,4,1,2,1,4,2,3,1,1,4,4,4,1,2,3,2,3,3,3,3,2,3,3,1,1,3,2,3,3,3,2,3,1,4,4,4,3,4,4,4,4,1,2,2,2,3,4,1,1,1,1,3,4,1,3,4,4,3,3,3,2,1,4,4,4,1,4,1,1,1,1,1,2,1
pid_128,1,1,1,2,4,3,1,3,4,4,4,1,1,4,4,4,4,4,1,1,1,1,2,2,1,1,4,3,4,1,1,3,2,3,2,1,3,2,1,2,1,1,2,2,2,2,3,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,1,2,1,3,4,4,4,4,2,4,4,1,1,1,2,4,4,1,4,1,1,1,1,1,2,1
pid_401,1,1,1,4,3,4,1,2,3,4,4,4,4,2,2,2,2,4,1,3,2,4,2,3,4,2,4,4,3,3,4,4,4,4,4,4,3,4,4,4,2,3,4,4,4,4,3,3,2,3,1,2,2,2,1,2,2,1,1,1,1,1,4,4,1,1,4,4,3,4,1,2,4,4,1,2,4,3,1,2,4,4,1,4,4,3,3,4,4,4,4
pid_1982,1,2,1,3,1,4,2,4,4,4,4,3,4,4,3,2,2,4,1,2,2,3,2,3,4,2,3,3,3,2,3,3,4,3,3,2,2,3,2,4,2,2,3,2,3,3,2,2,3,3,3,3,4,3,4,4,4,1,1,2,1,2,4,4,2,4,4,3,2,3,2,3,3,2,2,3,3,3,1,4,2,4,1,4,3,3,3,3,3,3,4
pid_1665,1,1,1,1,1,4,3,4,4,4,4,1,1,4,4,4,4,4,1,2,2,2,1,1,4,2,1,3,1,3,2,2,4,2,2,1,1,3,3,1,1,1,3,3,3,2,2,1,1,1,4,3,3,3,4,4,3,4,4,2,4,2,4,4,4,4,4,1,2,4,1,4,2,1,1,2,4,3,1,4,1,4,1,4,3,2,1,1,2,2,1
pid_1302,1,1,2,1,1,4,1,4,4,4,4,2,2,4,2,4,4,4,1,2,2,2,1,2,3,2,2,3,1,4,3,2,3,3,2,1,2,3,3,1,1,1,3,3,2,2,2,1,1,2,3,4,3,3,4,3,3,1,1,1,2,1,4,4,4,4,4,1,2,4,2,3,2,1,1,2,3,3,1,4,1,4,1,4,3,2,2,2,2,2,1
pid_166,1,1,4,1,1,4,2,2,1,1,1,4,3,4,2,2,4,4,1,4,3,4,4,4,4,1,4,4,4,1,2,4,2,4,4,4,4,2,3,4,4,4,3,3,3,3,3,2,4,3,2,4,4,4,4,2,2,1,1,1,1,1,4,4,1,1,1,1,4,3,4,2,4,4,1,2,3,1,1,1,4,1,1,4,3,1,3,3,1,2,3
pid_1498,1,1,1,2,2,3,1,3,2,4,3,1,2,3,3,2,3,4,1,2,1,2,2,2,2,1,3,4,2,2,2,3,3,3,2,2,2,2,2,4,1,1,2,2,2,2,3,2,3,2,4,4,4,3,3,3,4,1,1,1,2,2,4,4,1,1,3,1,2,3,4,4,4,2,2,3,3,3,1,4,2,4,1,4,2,1,1,1,1,4,1
pid_535,1,1,1,1,1,2,1,4,4,4,4,4,3,4,1,4,4,4,1,3,2,3,2,2,2,2,2,4,1,4,4,3,3,3,2,1,2,4,3,4,1,2,3,3,3,3,2,1,1,3,3,3,2,1,3,3,2,1,1,1,1,1,4,4,4,4,4,1,2,3,1,3,2,4,1,1,4,4,1,4,2,4,1,4,3,3,2,2,3,3,3
